,neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,lineage,dendrite_input,axon_input,Class 2,idx
7421507,FFN-13,FFN,FFN,False,False,False,True,R,11051740,472,DPLam,361,65,,677
7422253, (DPLam Talon 1 right; DALl1 4) [*DPLam_r akira] #7422253,unk,unk,False,False,False,True,R,2979675,24,DPLam,69,18,,678
7422595, (DALl1 5 right) [*DPLam_r akira] #7422595,unk,unk,False,False,False,True,R,12299805,541,DPLam,182,18,,679
7424178, (AN-L-Sens-B1-AVa-30) [] #7424178,sens,sens-AN,False,False,False,False,L,-1,-1,unk,0,12,AN,680
7429933, (DPLam Talon 2 right; DALl1 6 STBA) [*DPLam_r akira] #7429933,unk,unk,False,False,False,True,R,8167696,260,DPLam,173,36,,681
7431625,MB2IN-209 (S2: DPLam l 5_ right) [*DPLam_r akira] #7431625,unk,unk,False,False,False,True,R,17047087,876,DPLam,117,38,,682
7439913, (BAlp descending 3 left) [*BAlp_ant_l akira] #7439913,O_dSEZ,unk,False,False,False,True,L,17654519,216,BAlp_ant,23,7,,683
7449767, (UNK bilateral gnarled dendrite right) [unknown lineage] #7449767,unk,unk,False,False,False,True,R,8529400,282,unk,40,13,,684
7467027, (R1: upstream of telephone; LH LN? right) [*DPLl_r akira] #7467027,unk,unk,False,False,False,True,R,14519756,641,DPLl,491,26,,685
7476468, (CRZ 3 left) [*ncc_d_l akira] #7476468,unk,unk,False,False,False,True,L,3727004,217,ncc_d,60,3,,686
7480731, (Rh5PR-1;left) [] #7480731,sens,sens-photoRh5,False,False,False,False,L,-1,-1,unk,0,1,photoRh5,687
7483922, (Rh5PR-3;left) [] #7483922,sens,sens-photoRh5,False,False,False,False,L,-1,-1,unk,0,0,photoRh5,688
7485368, (Rh5PR-3;right) [] #7485368,sens,sens-photoRh5,False,False,False,False,R,-1,-1,unk,0,0,photoRh5,689
7503199,MB2ON-257,mPN,mPN-multi,False,False,False,True,R,9589146,356,BAmv3,435,42,multi,690
7515491,49a PN (49a PN left) [*BAmv3_l akira] #7515491,uPN,uPN,False,False,False,True,L,11279244,218,BAmv3,145,14,,691
7527710, (13a ORN left) [] #7527710,sens,sens-ORN,False,False,False,False,L,4073353,1080,unk,0,56,ORN,692
7529574, (ITP candidate 3 right) [*ncc_d_r akira] #7529574,O_ITP,O_ITP,False,False,False,True,R,16683883,825,ncc_d,5,3,,693
7530253, (ITP candidate 4 right) [*ncc_d_r akira] #7530253,O_ITP,O_ITP,False,False,False,True,R,16683943,826,ncc_d,18,0,,694
7540581,FB-26,FBN,FBN,False,False,False,True,L,5516552,219,BAla12,87,79,,695
7542938, (74a ORN left) [] #7542938,sens,sens-ORN,False,False,False,False,L,3885215,1096,unk,0,40,ORN,696
7555204, (Rh6PR-2;right) [] #7555204,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,1,photoRh6,697
7555968,Vision PN 1 (nc1;right) [*BLAd-OL_r akira] #7555968,vPN,vPN,False,False,False,True,R,8111135,254,BLAd-OL,136,30,,698
7556564, (MN-L-Sens-B3-ACp-03) [] #7556564,sens,sens-MN,False,False,False,False,L,-1,-1,unk,0,16,MN,699
7557604,MB2IN-150 (L1: Short-presynapticD-3-L) [*DPLc_post_lat_l akira] #7557604,unk,unk,False,False,False,True,L,3276003,220,DPLc_postat,137,14,,700
7563413, (Maxillary Nerve LN 1 right) [*BAlc post_r akira] #7563413,unk,unk,False,False,False,True,R,12882387,587,BAlc post,30,18,,701
7566199, (Rh6PR-7;right) [] #7566199,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,0,photoRh6,702
7568455, (Rh5PR-5;right) [] #7568455,sens,sens-photoRh5,False,False,False,False,R,-1,-1,unk,0,0,photoRh5,703
7569260, (CP1 d 1 right) [*CPf_r akira] #7569260,O_dVNC,O_dVNC,False,False,False,True,R,7005184,193,CPf,83,35,,704
7571966,MB2ON-218 (CPe contralateral descending right; CPe3/pep asc cand Right; CP1 d 4) [*CPe_r akira] #7571966,O_dVNC,O_dVNC,False,False,False,True,R,15639294,714,CPe,94,68,,705
7573476, (CP descending contralateral 3 right) [*CPf_r akira] #7573476,unk,unk,False,False,False,True,R,10527147,409,CPf,74,4,,706
7574701,FB-40,FBN,FBN,False,False,False,True,R,5681132,145,CPe,189,106,,707
7582412, (3rd Thermo Left - ADL022) [*BLAd-vm_l akira] #7582412,unk,unk,False,False,False,True,L,2776773,221,BLAd-vm,67,16,,708
7582489,MB2ON-227 (PDL005 - 3rd-order Thermo AP (D CB)1 Left) [*DPLm1_l akira] #7582489,unk,unk,False,False,False,True,L,7977834,222,DPLm1,120,33,,709
7587948, (down pOLP right) [*CPf_r akira] #7587948,O_dVNC,O_dVNC,False,False,False,True,R,8047280,249,CPf,131,42,,710
7589765, (CP descending contralateral 1 right) [*CPf_r akira] #7589765,O_dVNC,O_dVNC,False,False,False,True,R,13422280,599,CPf,89,16,,711
7590264, (CP descending contralateral 2 right) [*CPe_r akira] #7590264,O_dVNC,O_dVNC,False,False,False,True,R,7005145,192,CPe,85,8,,712
7594047,FB-7,FBN,FBN,False,False,False,True,R,15588620,701,CPd,210,50,,713
7600311, (picky 1 right) [*BAla12_r akira] #7600311,pLN,pLN,False,True,True,True,R,8102935,253,BAla12,357,0,,714
7612147,CN-14,unk,unk,False,False,False,True,R,11257084,488,CPc,326,134,,715
7616956,OAN-e1 (MBE9a right) [*CPc_r akira] #7616956,MBIN,MBIN-OAN,False,True,False,True,R,7983899,244,CPc,711,0,OAN,716
7658146, (49a ORN right) [] #7658146,sens,sens-ORN,False,False,False,False,R,3771794,1092,unk,0,35,ORN,717
7688300,MB2ON-196 (AW ; Right CP2/3d obPl 11; CP23 d 4 ) [*CPbl_r akira] #7688300,unk,unk,False,False,False,True,R,9078240,316,CPbl,70,52,,718
7690945,KC (KC33) [Lineage MBNB C right] #7690945,KC,KC-4claw,False,False,False,True,R,-1,-1,MBNB C right,61,104,4claw,719
7692008, (CP brush right; CP2/3d obPl 12) [*CPb_r akira] #7692008,unk,unk,False,False,False,True,R,11197975,1138,CPb,63,15,,720
7694589, (LONI;left) [*BLAd-OL_l akira] #7694589,unk,unk,False,False,False,True,L,8271034,223,BLAd-OL,25,11,,721
7700444,MB2ON-59 (BT ; CM13 med 5_left) [*CM13_med_l akira] #7700444,unk,unk,False,False,False,True,L,16910799,224,CM13_med,214,82,,722
7719118, (down_PVL09_PN-OLP_right) [*DPLal1-3_r akira] #7719118,unk,unk,False,False,False,True,R,11037238,471,DPLal1-3,145,30,,723
7719547, (63a ORN right) [] #7719547,sens,sens-ORN,False,False,False,False,R,3158543,1094,unk,0,53,ORN,724
7778722, (Rh5PR-6;right) [] #7778722,sens,sens-photoRh5,False,False,False,False,R,-1,-1,unk,0,1,photoRh5,725
7786053,KC (KC34) [Lineage MBNB A right] #7786053,KC,KC-1claw,False,False,False,True,R,16629788,816,MBNB A right,42,183,1claw,726
7802210,MBON-i1 (MBE5a left) [*DAMd1_l akira] #7802210,MBON,MBON,False,True,False,True,L,16797672,225,DAMd1,693,0,,727
7807684, (crab-1 right) [*DPLc5_r akira,unk,unk,False,False,False,True,R,16444548,779,unk,88,23,,728
7828725,KC (KC35) [Lineage MBNB A right] #7828725,KC,KC-3claw,False,False,False,True,R,-1,-1,MBNB A right,56,106,3claw,729
7829784,KC (KC36) [Lineage MBNB B right] #7829784,KC,KC-3claw,False,False,False,True,R,-1,-1,MBNB B right,70,98,3claw,730
7838405,KC (KC37) [Lineage MBNB C right] #7838405,KC,KC-4claw,False,False,False,True,R,-1,-1,MBNB C right,48,124,4claw,731
7840203,KC (KC38) [Lineage MBNB B right] #7840203,KC,KC-5claw,False,False,False,True,R,-1,-1,MBNB B right,55,113,5claw,732
7840791,MBON-e1 (MBE9b right) [*CPc_r akira] #7840791,MBON,MBON,False,False,False,True,R,14082322,619,CPc,666,88,,733
7843730,74a PN (74a PN left) [*BAmv3_l akira] #7843730,uPN,uPN,False,False,False,True,L,8140109,226,BAmv3,177,19,,734
7845346,63a PN (63a PN left) [*BAmv3_l akira] #7845346,uPN,uPN,False,False,False,True,L,8245513,227,BAmv3,151,10,,735
7851153,82a PN (82a PN left) [*BAmv3_l akira] #7851153,uPN,uPN,False,False,False,True,L,8245146,228,BAmv3,32,12,,736
7852250,45a PN (45a PN left) [*BAmv3_l akira] #7852250,uPN,uPN,False,False,False,True,L,8247451,229,BAmv3,115,22,,737
7864823,59a PN (59a PN left) [*BAmv3_l akira] #7864823,uPN,uPN,False,False,False,True,L,8245014,230,BAmv3,105,17,,738
7865652,22c PN (22c PN left) [*BAmv3_l akira] #7865652,uPN,uPN,False,False,False,True,L,8248631,231,BAmv3,138,25,,739
7865696,1a PN (1a PN left) [*BAmv3_l akira] #7865696,uPN,uPN,False,False,False,True,L,8252067,232,BAmv3,82,14,,740
7865767,83a PN (83a PN left) [*BAmv3_l akira] #7865767,uPN,uPN,False,False,False,True,L,8243455,233,BAmv3,157,12,,741
7868195,KC (KC39) [Lineage MBNB B right] #7868195,KC,KC-3claw,False,False,False,True,R,-1,-1,MBNB B right,26,169,3claw,742
7873135,42b PN (42b PN left) [*BAmv3_l akira] #7873135,uPN,uPN,False,False,False,True,L,8245692,234,BAmv3,167,22,,743
7874184, (LN1;right) [*BLAd-OL_r akira] #7874184,unk,unk,False,False,False,True,R,9927082,370,BLAd-OL,67,6,,744
7891312,KC (KC40) [Lineage MBNB A right] #7891312,KC,KC-6claw,False,False,False,True,R,-1,-1,MBNB A right,51,115,6claw,745
7897051, (GlulOLP;right) [*OLP_r] #7897051,unk,unk,False,False,False,True,R,8700125,287,OLP,189,108,,746
7897469,MBON-q1 (MBE2as right) [*BLAv12_post_r akira] #7897469,MBON,MBON,False,False,False,True,R,7910624,236,BLAv12_post,105,159,,747
7901791,DAN-f1 (MBE4a left) [*CPc_l akira] #7901791,MBIN,MBIN-DAN,False,False,False,True,L,2506050,235,CPc,149,274,DAN,748
7910624,MBON-q1 (MBE2as left) [*BLAv12_post_l akira] #7910624,MBON,MBON,False,False,False,True,L,7897469,236,BLAv12_post,131,146,,749
7916593,30a PN (30a PN left) [*BAmv3_l akira] #7916593,uPN,uPN,False,False,False,True,L,8256186,237,BAmv3,100,7,,750
7939890,MB2IN-185 (broad T3 left) [*BAlc ant_l akira] #7939890,bLN,bLN-Trio,False,True,True,True,L,6557581,238,BAlc ant,979,0,Trio,751
7939979, (broad T1 left) [*BAlc ant_l akira] #7939979,bLN,bLN-Trio,False,True,True,True,L,8198317,239,BAlc ant,1124,0,Trio,752
7941642, (broad D2 left) [*BAlc ant_l akira] #7941642,bLN,bLN-Duet,False,True,True,True,L,8198513,240,BAlc ant,379,0,Duet,753
7941652,_broad D1 (broad D1 left) [*BAlc ant_l akira] #7941652,bLN,bLN-Duet,False,True,True,True,L,8198416,241,BAlc ant,409,0,Duet,754
7952981, (5thLN;left) [*BLAd-OL_l akira] #7952981,vPN,vPN,False,False,False,True,L,8717219,242,BLAd-OL,114,20,,755
7962986, (plume right) [*DPLl_r akira] #7962986,unk,unk,False,False,False,True,R,16637377,821,DPLl,153,80,,756
7971031,Thermo PN 1 (PVL005 1 right) [*BLVa34_r akira] #7971031,unk,unk,False,False,False,True,R,4635057,106,BLVa34,78,26,,757
7977834,MB2ON-227 (PDL005 - 3rd-order Thermo AP (D CB)1 Right) [*DPLm1_r akira] #7977834,unk,unk,False,False,False,True,R,7582489,222,DPLm1,103,34,,758
7980189,CN-2,unk,unk,False,False,False,True,R,11600886,499,DALcm12-m,788,88,,759
7980369,FB-38,FBN,FBN,False,False,False,True,R,7026287,196,DALcm12-m,214,88,,760
7982307, (CPf descending ipsilateral-like right) [*CPf_r akira] #7982307,unk,unk,False,False,False,True,R,-1,-1,CPf,116,1,,761
7982324, (CPf descending 2 right) [*CPf_r akira] #7982324,O_dSEZ,O_dSEZ,False,False,False,True,R,5684940,146,CPf,90,7,,762
7982896, (SP2-1;left) [*CM4-dm_l akira] #7982896,unk,unk,False,True,True,True,L,8177199,243,CM4-dm,202,0,,763
7983899,OAN-e1 (MBE9a left) [*CPc_l akira] #7983899,MBIN,MBIN-OAN,False,True,False,True,L,7616956,244,CPc,641,0,OAN,764
8012953,Unknown PN 2 (PN in Olfactory Bundle 2 left) [*BAmv3_l akira] #8012953,unk,unk,False,False,False,True,L,8254894,245,BAmv3,46,8,,765
8019816,FB2IN-5,FB2N,FB2N,False,False,False,True,R,17177005,902,CM13_med,147,50,,766
8021456,33a PN (33a PN left) [*BAlp4_l akira] #8021456,uPN,uPN,False,False,False,True,L,13589251,246,BAlp4,150,17,,767
8025665, (DALcl contralateral 1 left; DALcl r vv 10 left) [unknown lineage] #8025665,unk,unk,False,False,False,True,L,6190181,247,unk,105,20,,768
8034919,CN-16,unk,unk,False,False,False,True,R,12299621,538,DPLc_antat,249,112,,769
8037197,CN-22,unk,unk,False,False,False,True,L,17822238,248,BLVa12,129,66,,770
8047280, (down pOLP left) [*CPf_l akira] #8047280,O_dVNC,O_dVNC,False,False,False,True,L,7587948,249,CPf,121,39,,771
8052161,FB2IN-14,FB2N,FB2N,False,False,False,True,L,4152272,250,DALv23,96,48,,772
8055671, (MN-L-Sens-B1-ACpl-01) [] #8055671,sens,sens-MN,False,False,False,False,L,-1,-1,unk,0,33,MN,773
8065380, (ASB Digest right) [unknown lineage] #8065380,unk,unk,False,False,False,True,R,-1,-1,unk,195,11,,774
8065771,CN-19,unk,unk,False,False,False,True,R,17038587,875,CPf,311,44,,775
8066411,KC (KC41 young) [Lineage MBNB D right] #8066411,KC,KC,True,False,False,True,R,-1,-1,MBNB D right,21,32,,776
8066542,KC (KC42) [Lineage MBNB D right] #8066542,KC,KC-1claw,False,False,False,True,R,11725803,514,MBNB D right,20,243,1claw,777
8068173,KC (LON KC right) [Lineage MBNB C right] #8068173,KC,KC-3claw,False,False,False,True,R,8262372,266,MBNB C right,51,273,3claw,778
8069365,MB2ON-63 (QI; visual interneuron_right) [*BLAd-OL_r akira] #8069365,unk,unk,False,False,False,True,R,4721538,112,BLAd-OL,236,56,,779
8069432,CN-26,unk,unk,False,False,False,True,L,8542422,251,BAmd1,218,118,,780
8069478,CN-33,unk,unk,False,False,False,True,R,11004239,461,DPMpl12,235,76,,781
8070872, (UNK horseshoe unpaired left; LNM_downstream_16.05) [unknown lineage] #8070872,unk,unk,False,False,False,True,L,-1,-1,unk,55,13,,782
8075484,CN-18,FBN,FBN,False,False,False,True,R,13197236,592,DAMv12at,212,20,,783
8078096,CN-57,FAN,FAN,False,False,False,True,L,4514494,252,BAmd2_d,135,62,,784
8094859,MBON-b1 (MBE11a right) [*BLVa34_r akira] #8094859,MBON,MBON,False,False,False,True,R,17147698,892,BLVa34,441,20,,785
8102935, (picky 1 left) [*BAla12_l akira] #8102935,pLN,pLN,False,True,True,True,L,7600311,253,BAla12,315,0,,786
8111135,Vision PN 1 (nc1;left) [*BLAd-OL_l akira] #8111135,vPN,vPN,False,False,False,True,L,7555968,254,BLAd-OL,116,38,,787
8118474,KC (Thermo KC A_Left   -   Mushroom Body  Right) [Lineage MBNB C left] #8118474,KC,KC-2claw,False,False,False,True,L,4229950,255,MBNB C left,145,277,2claw,788
8118929, (LN3;left) [*BLAd-OL_l akira] #8118929,unk,unk,False,False,False,True,L,2775943,256,BLAd-OL,50,11,,789
8118947,FB-29,FBN,FBN,False,False,False,True,L,14077615,257,BAmd2_d,187,40,,790
8124177, (pOLP;right) [*OLP_r] #8124177,vPN,vPN,False,False,False,True,R,9940382,371,OLP,57,16,,791
8127390, (down_oct1_right) [*DPMl34_post_r akira] #8127390,unk,unk,False,False,False,True,R,19017386,1046,DPMl34_post,82,10,,792
8132513,MB2IN-132,unk,unk,False,False,False,True,R,9965610,373,CM4-vm,202,25,,793
8138616, (DN1-1 - PDL007 #2 right) [*DPLc_ant_lat_r akira] #8138616,unk,unk,False,True,True,True,R,19611917,1061,DPLc_antat,128,0,,794
8140109,74a PN (74a PN right) [*BAmv3_r akira] #8140109,uPN,uPN,False,False,False,True,R,7843730,226,BAmv3,157,13,,795
8142831, (BLP12 bilateral horseshoe 2 left) [*BLP12_l akira,unk,unk,False,False,False,True,L,17655000,258,unk,57,13,,796
8154054, (BAmas12_dor center output 1 left) [*BAmas12_dor_l akira] #8154054,O_dSEZ,O_dSEZ,False,False,False,True,L,858479,259,BAmas12_dor,74,30,,797
8159396, (BAla12 descending 1 right) [*BAla12_r akira] #8159396,unk,unk,False,False,False,True,R,3539170,39,BAla12,59,63,,798
8161142, (DALcm12 v ap 13) [*DALcm12-v_r akira] #8161142,unk,unk,False,False,False,True,R,7025064,194,DALcm12-v,67,49,,799
8161148, (DALcm12 v ap 14_right) [*DALcm12-v_r akira] #8161148,unk,unk,False,False,False,True,R,18551732,1038,DALcm12-v,212,104,,800
8167696, (DPLam Talon 2 left) [*DPLam_l akira] #8167696,unk,unk,False,False,False,True,L,7429933,260,DPLam,36,15,,801
8177199, (SP2-1;right) [*CM4-dm_r akira] #8177199,unk,unk,False,True,True,True,R,7982896,243,CM4-dm,183,0,,802
8177991,KC (KC no pair) [Lineage MBNB B left] #8177991,KC,KC-4claw,False,False,False,True,L,-1,-1,MBNB B left,66,90,4claw,803
8184598,MB2ON-3 (BI ; NI_right) [*CPf_r akira] #8184598,unk,unk,False,False,False,True,R,16464284,785,CPf,210,27,,804
8198238,MB2IN-184 (broad T2 right) [*BAlc ant_r akira] #8198238,bLN,bLN-Trio,False,True,True,True,R,8311264,270,BAlc ant,1201,0,Trio,805
8198317, (broad T1 right) [*BAlc ant_r akira] #8198317,bLN,bLN-Trio,False,True,True,True,R,7939979,239,BAlc ant,1044,0,Trio,806
8198416,_broad D1 (broad D1 right) [*BAlc ant_r akira] #8198416,bLN,bLN-Duet,False,True,True,True,R,7941652,241,BAlc ant,480,0,Duet,807
8198513, (broad D2 right) [*BAlc ant_r akira] #8198513,bLN,bLN-Duet,False,True,True,True,R,7941642,240,BAlc ant,436,0,Duet,808
8199671, (picky 0 right) [*BAla12_r akira] #8199671,pLN,pLN,False,False,False,True,R,5291791,131,BAla12,239,122,,809
8203947, (PDM1 left) [*CM4-dm_l akira] #8203947,unk,unk,False,False,False,True,L,17952967,261,CM4-dm,180,142,,810
8227502, (DPMpl12 Giraffe 1 right ) [*DPMpl12_r akira] #8227502,unk,unk,False,False,False,True,R,4991243,121,DPMpl12,29,16,,811
8229118, (Basal Tel-like 1 right) [*BLAv12_post_r akira] #8229118,unk,unk,False,False,False,True,R,21220994,1142,BLAv12_post,213,56,,812
8231264, (choosy 1 right) [unknown lineage] #8231264,cLN,cLN,False,False,False,True,R,7394271,215,unk,127,103,,813
8238322,LH-8,unk,unk,False,False,False,True,L,11210000,263,BLVa12,288,100,,814
8243455,83a PN (83a PN right) [*BAmv3_r akira] #8243455,uPN,uPN,False,False,False,True,R,7865767,233,BAmv3,178,15,,815
8244723,42a PN (42a PN right) [*BAmv3_r akira] #8244723,uPN,uPN,False,False,False,True,R,3486381,37,BAmv3,238,43,,816
8244823,13a PN (13a PN right) [*BAmv3_r akira] #8244823,uPN,uPN,False,False,False,True,R,4493199,100,BAmv3,171,10,,817
8245014,59a PN (59a PN right) [*BAmv3_r akira] #8245014,uPN,uPN,False,False,False,True,R,7864823,230,BAmv3,117,12,,818
8245146,82a PN (82a PN right) [*BAmv3_r akira] #8245146,uPN,uPN,False,False,False,True,R,7851153,228,BAmv3,71,6,,819
8245513,63a PN (63a PN right) [*BAmv3_r akira] #8245513,uPN,uPN,False,False,False,True,R,7845346,227,BAmv3,160,20,,820
8245692,42b PN (42b PN right) [*BAmv3_r akira] #8245692,uPN,uPN,False,False,False,True,R,7873135,234,BAmv3,198,24,,821
8245869,24a PN (24a PN right) [*BAmv3_r akira] #8245869,uPN,uPN,False,False,False,True,R,7198338,209,BAmv3,128,22,,822
8246081,67b PN (67b PN right) [*BAlc post_r akira] #8246081,uPN,uPN,False,False,False,True,R,16259595,752,BAlc post,195,41,,823
8246750,47a&33b PN (47a & 33b PN right) [*BAmv3_r akira] #8246750,uPN,uPN,False,False,False,True,R,7092417,204,BAmv3,140,18,,824
8247451,45a PN (45a PN right) [*BAmv3_r akira] #8247451,uPN,uPN,False,False,False,True,R,7852250,229,BAmv3,137,13,,825
8247641, (ChalOLP;right) [*OLP_r] #8247641,unk,unk,False,True,True,True,R,17414715,952,OLP,326,0,,826
8248631,22c PN (22c PN right) [*BAmv3_r akira] #8248631,uPN,uPN,False,False,False,True,R,7865652,231,BAmv3,125,17,,827
8248706,KC (KC no pair) [Lineage MBNB A left] #8248706,KC,KC-5claw,False,False,False,True,L,-1,-1,MBNB A left,39,83,5claw,828
8252067,1a PN (1a PN right) [*BAmv3_r akira] #8252067,uPN,uPN,False,False,False,True,R,7865696,232,BAmv3,77,26,,829
8253413,45b PN (45b PN right) [*BAmv3_r akira] #8253413,uPN,uPN,False,False,False,True,R,7107433,205,BAmv3,163,12,,830
8253620, (MB2IN-159 left alternative) [*DPlal1-3_ant_l akira] #8253620,unk,unk,False,False,False,True,L,18639459,264,DPlal1-3_ant,198,26,,831
8254894,Unknown PN 2 (PN in Olfactory Bundle 2 right) [*BAmv3_r akira] #8254894,unk,unk,False,False,False,True,R,8012953,245,BAmv3,50,11,,832
8256186,30a PN (30a PN right) [*BAmv3_r akira] #8256186,uPN,uPN,False,False,False,True,R,7916593,237,BAmv3,131,9,,833
8260011,KC (KC46 young) [Lineage MBNB C right] #8260011,KC,KC,True,False,False,True,R,-1,-1,MBNB C right,8,25,,834
8262302,KC (KC21) [Lineage MBNB C left] #8262302,KC,KC-1claw,False,False,False,True,L,5051342,265,MBNB C left,45,205,1claw,835
8262372,KC (LON KC left) [Lineage MBNB C left] #8262372,KC,KC-3claw,False,False,False,True,L,8068173,266,MBNB C left,118,247,3claw,836
8262503,KC (KC no pair) [Lineage MBNB C left] #8262503,KC,KC-2claw,False,False,False,True,L,-1,-1,MBNB C left,40,122,2claw,837
8263140,KC (KC no pair) [Lineage MBNB C left] #8263140,KC,KC-4claw,False,False,False,True,L,-1,-1,MBNB C left,63,127,4claw,838
8263285,KC (KC no pair) [Lineage MBNB C left] #8263285,KC,KC-3claw,False,False,False,True,L,-1,-1,MBNB C left,43,119,3claw,839
8270683, (nc2;right) [*BLAd-OL_r akira] #8270683,vPN,vPN,False,False,False,True,R,8340950,272,BLAd-OL,136,26,,840
8271034, (LONI;right) [*BLAd-OL_r akira] #8271034,unk,unk,False,False,False,True,R,7694589,223,BLAd-OL,22,17,,841
8271875, (PT ; DALcm12 m ant med 14_right) [*DALcm12-m_r akira] #8271875,unk,unk,False,False,False,True,R,15539984,690,DALcm12-m,65,136,,842
8274021, (picky 3 left) [*BAla12_l akira] #8274021,pLN,pLN,False,False,False,True,L,11051276,267,BAla12,290,30,,843
8274902,KC (KC48) [Lineage MBNB A right] #8274902,KC,KC-5claw,False,False,False,True,R,-1,-1,MBNB A right,61,131,5claw,844
8276782,MB2ON-183,mPN,mPN-olfac,False,False,False,True,L,4119387,268,BAlc post,487,20,olfac,845
8293958,PN (Suckerfish PN left) [*BAmv3_l akira] #8293958,tPN,tPN,False,False,False,True,L,3869488,269,BAmv3,131,87,,846
8297018,MBON-e2 (MBE16 right) [*DAMd1_r akira] #8297018,MBON,MBON,False,False,False,True,R,8922644,304,DAMd1,185,108,,847
8305958, (like thermo AP right) [*DPLl_r akira] #8305958,unk,unk,False,False,False,True,R,9207332,322,DPLl,129,20,,848
8307514, (DPLl i 2(BLDa b 2 pep) right) [*DPLl_r akira] #8307514,unk,unk,False,False,False,True,R,4379603,82,DPLl,148,47,,849
8310087,CN-56,unk,unk,False,False,False,True,R,12138418,528,DPLl,228,76,,850
8310955,MB2IN-128,unk,unk,False,False,False,True,R,5938794,173,DPLl,189,57,,851
8311264,MB2IN-184 (broad T2 left) [*BAlc ant_l akira] #8311264,bLN,bLN-Trio,False,True,True,True,L,8198238,270,BAlc ant,947,0,Trio,852
8313802, (BLDc descending 4 right) [*BLDc_r akira] #8313802,unk,unk,False,False,False,True,R,17729161,978,BLDc,57,11,,853
8318678,KC (KC no claws) [Lineage MBNB B left] #8318678,KC,KC-6claw,False,False,False,True,L,-1,-1,MBNB B left,42,65,6claw,854
8318813,MB2ON-34 (DALcl12 v d 5 right) [*DALcl12-v_r akira] #8318813,unk,unk,False,False,False,True,R,11908619,522,DALcl12-v,40,43,,855
8319311,MBIN-b1 (MBE10a right) [*DPLd_r akira] #8319311,MBIN,MBIN,False,False,False,True,R,8689674,286,DPLd,108,150,,856
8338584,MBON-h1 (MBE13a left) [*DALv23_l akira] #8338584,MBON,MBON,False,True,False,True,L,4195012,271,DALv23,477,0,,857
8340950, (nc2;left) [*BLAd-OL_l akira] #8340950,vPN,vPN,False,False,False,True,L,8270683,272,BLAd-OL,110,21,,858
8347613,MB2IN-215 (Ivy left) [*BLVa_t_l akira] #8347613,unk,unk,False,False,False,True,L,8349553,273,BLVa_t,127,30,,859
8347720, (BLVa hook 3 left) [*BLVa_t_l akira] #8347720,unk,unk,False,False,False,True,L,18302610,274,BLVa_t,44,20,,860
8347907, (BLVa_t ascending medial 3 left) [*BLVa_t_l akira] #8347907,unk,unk,False,False,False,True,L,5503982,275,BLVa_t,14,17,,861
8348277, (BLVa hook 2 left) [*BLVa_t_l akira] #8348277,unk,unk,False,False,False,True,L,18302665,276,BLVa_t,30,16,,862
8349553,MB2IN-215 (Ivy right) [*BLVa_t_r akira] #8349553,unk,unk,False,False,False,True,R,8347613,273,BLVa_t,115,25,,863
8357933,MB2ON-62 (BT; BAmd2 ven desc lat 5_left -AXON WRONG) [*BAmd2_v_l akira] #8357933,O_dSEZ,O_dSEZ,False,False,False,True,L,13764822,277,BAmd2_v,138,23,,864
8370111,MB2IN-135,unk,unk,False,False,False,True,R,10323628,394,DAMd23,43,41,,865
8391330, (DPMl a 2 DPPT neuron left) [DPMl_l] #8391330,O_dVNC,O_dVNC,False,False,False,True,L,5993765,1117,DPMl,43,12,,866
8393981,KC (KC no pair) [Lineage MBNB B left] #8393981,KC,KC-2claw,False,False,False,True,L,-1,-1,MBNB B left,35,87,2claw,867
8399890,94a&94b PN (94a & 94b PN left) [*BAmv3_l akira] #8399890,uPN,uPN,False,False,False,True,L,4651929,278,BAmv3,157,14,,868
8410627, (BLP12 hook 3 right; BLP local R; BLP12 a 1) [*BLP12_r akira] #8410627,unk,unk,False,False,False,True,R,16014701,737,BLP12,109,19,,869
8412625, (Basal Tel-like 1 right) [*BLAv12_ant_r akira] #8412625,unk,unk,False,False,False,True,R,11291653,491,BLAv12_ant,148,36,,870
8413543, (BLP12 gripper 2 right; BLP12 a 8) [*BLP12_r akira] #8413543,unk,unk,False,False,False,True,R,11756023,515,BLP12,21,13,,871
8413663,KC (KC49) [Lineage MBNB A right] #8413663,KC,KC-2claw,False,False,False,True,R,-1,-1,MBNB A right,58,162,2claw,872
8419602,KC (KC50) [Lineage MBNB A right] #8419602,KC,KC-6claw,False,False,False,True,R,-1,-1,MBNB A right,90,122,6claw,873
8423405,CN-24,unk,unk,False,False,False,True,L,11137808,279,unk,113,20,,874
8427677,KC (KC51) [Lineage MBNB A right] #8427677,KC,KC-3claw,False,False,False,True,R,-1,-1,MBNB A right,40,67,3claw,875
8447845, (Rh6PR-10;right) [] #8447845,sens,sens-photoRh6,False,False,False,False,R,-1,-1,unk,0,0,photoRh6,876
8451818, (ADC1_right) [*DPMl_ant_dor_r akira] #8451818,unk,unk,False,False,False,True,R,11216417,485,DPMl_ant_dor,133,76,,877
8461082, (Basal Tel-like 2 Right) [*BLAvm post_r akira] #8461082,unk,unk,False,False,False,True,R,11084320,476,BLAvm post,218,53,,878
